,Click to star the Github Repo,,,,,,,Connect/Follow on LinkedIn,,,,Last updated:,2022-06-22 12:30 (GMT),
Q. No.,Name / Link,"Likes
(L)","Dislikes
(D)","Reactions
(L+D)","L/D
Ratio","Acceptance
Rate",Category,Topic Tags,Difficulty,Free?,"Has
Solution?","Has Video
Solution?","Total
Accepted","Total
Submitted"
1,Two Sum,33736,1066,34802,31.65,48.75%,Algorithms,"Array, Hash Table, ",Easy,TRUE,TRUE,TRUE,6958797,14274405
3,Longest Substring Without Repeating Characters,25672,1113,26785,23.07,33.44%,Algorithms,"Hash Table, String, Sliding Window, ",Medium,TRUE,TRUE,TRUE,3475687,10392620
53,Maximum Subarray,21922,1092,23014,20.08,49.62%,Algorithms,"Array, Divide and Conquer, Dynamic Programming, ",Easy,TRUE,TRUE,FALSE,2462423,4962229
42,Trapping Rain Water,19402,271,19673,71.59,57.07%,Algorithms,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack, ",Hard,TRUE,TRUE,FALSE,1169959,2050151
5,Longest Palindromic Substring,19200,1105,20305,17.38,32.2%,Algorithms,"String, Dynamic Programming, ",Medium,TRUE,TRUE,FALSE,1937037,6016502
2,Add Two Numbers,19145,3867,23012,4.95,38.92%,Algorithms,"Linked List, Math, Recursion, ",Medium,TRUE,TRUE,FALSE,2860433,7348727
15,3Sum,18778,1806,20584,10.4,31.42%,Algorithms,"Array, Two Pointers, Sorting, ",Medium,TRUE,TRUE,FALSE,2035942,6480428
11,Container With Most Water,17829,974,18803,18.3,54.05%,Algorithms,"Array, Two Pointers, Greedy, ",Medium,TRUE,TRUE,TRUE,1562871,2891537
4,Median of Two Sorted Arrays,17309,2074,19383,8.35,34.4%,Algorithms,"Array, Binary Search, Divide and Conquer, ",Hard,TRUE,FALSE,FALSE,1439064,4183103
121,Best Time to Buy and Sell Stock,17173,563,17736,30.5,54.25%,Algorithms,"Array, Dynamic Programming, ",Easy,TRUE,TRUE,TRUE,2299470,4239035
33,Search in Rotated Sorted Array,15168,950,16118,15.97,38.04%,Algorithms,"Array, Binary Search, ",Medium,TRUE,TRUE,FALSE,1547014,4066889
287,Find the Duplicate Number,14561,1796,16357,8.11,58.89%,Algorithms,"Array, Two Pointers, Binary Search, Bit Manipulation, ",Medium,TRUE,TRUE,FALSE,889016,1509717
200,Number of Islands,14332,337,14669,42.53,54.44%,Algorithms,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix, ",Medium,TRUE,TRUE,FALSE,1631004,2995878
56,Merge Intervals,14301,538,14839,26.58,45.21%,Algorithms,"Array, Sorting, ",Medium,TRUE,TRUE,TRUE,1494301,3304997
20,Valid Parentheses,13741,629,14370,21.85,40.86%,Algorithms,"String, Stack, ",Easy,TRUE,TRUE,TRUE,2355859,5766192
560,Subarray Sum Equals K,13687,437,14124,31.32,44.22%,Algorithms,"Array, Hash Table, Prefix Sum, ",Medium,TRUE,TRUE,TRUE,801318,1812091
146,LRU Cache,13685,542,14227,25.25,40.17%,Algorithms,"Hash Table, Linked List, Design, Doubly-Linked List, ",Medium,TRUE,TRUE,FALSE,1099636,2737275
22,Generate Parentheses,13500,514,14014,26.26,70.62%,Algorithms,"String, Dynamic Programming, Backtracking, ",Medium,TRUE,TRUE,FALSE,1101581,1559851
238,Product of Array Except Self,12903,756,13659,17.07,64.19%,Algorithms,"Array, Prefix Sum, ",Medium,TRUE,TRUE,TRUE,1216290,1894699
21,Merge Two Sorted Lists,12877,1172,14049,10.99,60.75%,Algorithms,"Linked List, Recursion, ",Easy,TRUE,TRUE,TRUE,2303971,3792662
198,House Robber,12836,276,13112,46.51,47.63%,Algorithms,"Array, Dynamic Programming, ",Medium,TRUE,TRUE,FALSE,1186571,2491133
23,Merge k Sorted Lists,12649,487,13136,25.97,47.45%,Algorithms,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort, ",Hard,TRUE,TRUE,FALSE,1305432,2751375
206,Reverse Linked List,12594,217,12811,58.04,70.87%,Algorithms,"Linked List, Recursion, ",Easy,TRUE,TRUE,TRUE,2225482,3140268
300,Longest Increasing Subsequence,12563,240,12803,52.35,49.84%,Algorithms,"Array, Binary Search, Dynamic Programming, ",Medium,TRUE,TRUE,FALSE,896957,1799723
70,Climbing Stairs,12399,378,12777,32.8,51.27%,Algorithms,"Math, Dynamic Programming, Memoization, ",Easy,TRUE,TRUE,FALSE,1639790,3198175
322,Coin Change,12353,281,12634,43.96,40.79%,Algorithms,"Array, Dynamic Programming, Breadth-First Search, ",Medium,TRUE,TRUE,TRUE,1061311,2602041
152,Maximum Product Subarray,12086,361,12447,33.48,34.65%,Algorithms,"Array, Dynamic Programming, ",Medium,TRUE,TRUE,FALSE,775790,2238957
39,Combination Sum,11567,246,11813,47.02,66.17%,Algorithms,"Array, Backtracking, ",Medium,TRUE,TRUE,FALSE,1134506,1714469
55,Jump Game,11500,637,12137,18.05,38.03%,Algorithms,"Array, Dynamic Programming, Greedy, ",Medium,TRUE,TRUE,FALSE,1044640,2747190
31,Next Permutation,11338,3527,14865,3.21,36.61%,Algorithms,"Array, Two Pointers, ",Medium,TRUE,TRUE,FALSE,840464,2295792
34,Find First and Last Position of Element in Sorted Array,11244,303,11547,37.11,40.33%,Algorithms,"Array, Binary Search, ",Medium,TRUE,TRUE,FALSE,1142769,2833251
46,Permutations,11141,199,11340,55.98,73.02%,Algorithms,"Array, Backtracking, ",Medium,TRUE,TRUE,FALSE,1219844,1670482
17,Letter Combinations of a Phone Number,11096,713,11809,15.56,54.58%,Algorithms,"Hash Table, String, Backtracking, ",Medium,TRUE,TRUE,FALSE,1255010,2299207
139,Word Break,10955,483,11438,22.68,44.8%,Algorithms,"Hash Table, String, Dynamic Programming, Trie, Memoization, ",Medium,TRUE,TRUE,TRUE,1110503,2478653
76,Minimum Window Substring,10830,543,11373,19.94,39.3%,Algorithms,"Hash Table, String, Sliding Window, ",Hard,TRUE,TRUE,FALSE,783162,1992657
19,Remove Nth Node From End of List,10623,501,11124,21.2,38.63%,Algorithms,"Linked List, Two Pointers, ",Medium,TRUE,TRUE,TRUE,1461162,3782062
84,Largest Rectangle in Histogram,10530,151,10681,69.74,41.16%,Algorithms,"Array, Stack, Monotonic Stack, ",Hard,TRUE,TRUE,TRUE,528224,1283261
75,Sort Colors,10520,428,10948,24.58,55.53%,Algorithms,"Array, Two Pointers, Sorting, ",Medium,TRUE,TRUE,FALSE,1060339,1909590
78,Subsets,10493,162,10655,64.77,72.12%,Algorithms,"Array, Backtracking, Bit Manipulation, ",Medium,TRUE,TRUE,FALSE,1133047,1571068
215,Kth Largest Element in an Array,10473,550,11023,19.04,64.72%,Algorithms,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect, ",Medium,TRUE,TRUE,FALSE,1423166,2198834
